Angle	Frequency	ax	bx	cx

0.5	0.5	0.0254335435658	-0.0061524741172	-0.00471783130036
1	0.5	0.0224836450491	0.0164636525988	0.00133672916475
2	0.5	0.0924209769898	-0.0723486185221	0.0328782638854
4	0.5	0.21696541764	-0.191853186801	0.0418694214299
8	0.5	0.384792783192	-0.597807324418	0.297696093183
16	0.5	0.562642717195	-0.0656354965737	0.0449742318105
32	0.5	0.0741235497639	3.62580351539	-1.83581129509
64	0.5	1.83513852137	1.15085693148	-0.350679677098
96	0.5	2.83874848797	-0.859512688029	0.360878624579
128	0.5	0.0156565221564	7.31493016054	-3.23961884611
160	0.5	1.00914116301	3.36999977675	-1.58505742158
180	0.5	-0.272340760879	6.89529130034	-2.78631521448

0.5	1	0.0184405277936	0.0131035135706	-0.00144093986606
1	1	0.0283498214406	0.0680242869849	-0.0256595440285
2	1	0.0624854367041	0.115588164003	-0.0614425365382
4	1	0.238746933987	-0.0880707579933	0.077581043465
8	1	0.139459100525	0.813659489762	-0.408123707915
16	1	1.82849829705	-3.34857392797	1.49353340819
32	1	4.45401301415	-9.82182397504	4.26943875818
64	1	3.20403163235	-2.09669669031	1.16537112612
96	1	2.01541752545	2.2203217024	-1.45694285997
128	1	3.41555453189	-3.1841098141	1.25205867298
160	1	1.67493283524	0.950211108233	-0.684451782582
180	1	1.87385401707	1.85357333075	-1.74649666596

0.5	2	0.0595587652775	-0.0654275277836	0.0280896968277
1	2	0.0234482019925	0.142242378874	-0.0727657604155
2	2	0.0213965523322	0.402882084066	-0.18349711202
4	2	0.405456399443	-0.28529322311	0.046720193407
8	2	0.680615256007	-0.421558517368	0.101820457186
16	2	-0.241423147895	5.54316021213	-2.89599989933
32	2	3.7893279185	-6.11614226051	2.83145610992
64	2	1.75215583118	1.4973647284	-0.417963074591
96	2	2.29735027505	0.0136172368513	-0.172476121252
128	2	1.52927148222	1.02494582098	-0.409783995636
160	2	1.12891808706	0.817439184473	-0.42373568021
180	2	0.609913236288	1.29353567482	-0.174629070903

0.5	4	0.0896606957769	-0.147279482476	0.0618229467687
1	4	0.149296112462	-0.0572657555777	0.0162154521497
2	4	0.321082560588	-0.357297500613	0.149087476042
4	4	0.414544133903	-0.1804711191	0.109313719481
8	4	0.388086761356	1.47680494564	-0.788631576796
16	4	-0.302942671185	7.16285617572	-3.66660874322
32	4	3.8916930198	-5.99300332846	2.90742909456
64	4	3.7018638131	-3.71232470417	1.44174395067
96	4	1.95923988691	-1.52681825063	0.728472505134
128	4	1.4371723354	-0.986680967829	0.626685843704
160	4	0.956185663142	-0.748842445456	0.421964155101
180	4	0.194835547523	1.27335824782	-0.570456221106

0.5	8	0.00582643813154	0.184890790757	-0.0761255666807
1	8	0.10192508221	0.00798350817146	0.0614082091725
2	8	-0.0774638592707	1.10613818413	-0.48803715924
4	8	0.777396339269	-0.685862889442	0.3035011901
8	8	2.65811593238	-4.86127504729	2.22476756014
16	8	2.81986015028	-2.15153744682	1.21023722259
32	8	3.64312072493	-3.13698242368	1.50911476927
64	8	1.43742835472	0.318072388273	0.333859999081
96	8	0.812962470004	0.908166234792	-0.509057340163
128	8	0.769362131372	-0.394953262255	0.185117761209
160	8	0.791909311703	-1.26958465679	0.708167137501
180	8	0.563994539143	-0.67557949964	0.303439330716

0.5	16	0.211700163542	-0.372036087475	0.169619332328
1	16	0.0158922909411	0.80575020937	-0.396984502694
2	16	0.434086363473	-0.266430312502	0.186701161663
4	16	0.195138690955	2.06889535349	-0.917226720824
8	16	0.346200305138	2.62061884698	-1.21913123173
16	16	3.24372941185	-3.31425605272	1.73861671355
32	16	1.0232033	3.55915415645	-1.52680720328
64	16	1.43570746348	-1.23853765455	0.557264503165
96	16	0.468907771427	0.570896560557	-0.245383188602
128	16	0.395428978057	-0.0220931729397	0.0402445603474
160	16	0.319923424062	0.00947558999305	-0.0425875833071
180	16	0.16282195363	0.238918280947	-0.155444442227

0.5	32	0.113592372211	0.0328951114378	-0.00324031234009
1	32	0.076140493908	0.842258310546	-0.456827121158
2	32	0.258359883935	0.615763571624	-0.267887536573
4	32	1.19474157746	-1.23898245058	0.5960589589
8	32	4.30385040727	-7.85909698108	3.47087389369
16	32	1.69287853737	2.55370157943	-1.25793921223
32	32	1.33402271205	0.907438975645	-0.106613407855
64	32	0.223719557724	2.50042596843	-1.31908600616
96	32	0.749422552993	-1.09282825812	0.393687174018
128	32	0.0157430575593	0.687262230435	-0.35116815411
160	32	0.16988492266	-0.0309440580228	-0.00900781596448
180	32	0.14957409092	-0.0575124247475	0.000416906649688

0.5	48	0.125560837445	0.143470280587	-0.0156168144632
1	48	0.423473441495	-0.00630503375413	-0.126065910133
2	48	1.15067589098	-1.86422445995	0.891031704636
4	48	0.928589947897	1.20954769847	-0.415906485714
8	48	0.929612501663	4.58794055387	-2.05677308388
16	48	3.17185288321	-1.97740725142	0.918034266989
32	48	2.30609935203	-3.05109103204	1.30526514527
64	48	0.789266076423	-1.08569327809	0.467095986182
96	48	0.353750607142	-0.365917350121	0.216024277004
128	48	0.180619152184	-0.108846246744	0.0317188188537
160	48	0.145870322849	-0.185755587853	0.0750986922419
180	48	0.0594513256519	0.0532322395283	-0.031224077126

0.5	64	0.26319176499	-0.247002690573	0.0609807904167
1	64	0.533664521441	-0.525302164044	0.199608152772
2	64	2.30002496305	-3.83488795495	1.50328035161
4	64	2.72540640828	-2.47596421137	0.61509428218
8	64	1.4503944113	3.20019166527	-1.24944900094
16	64	4.2853841595	-6.68042013048	3.08475613151
32	64	0.721462888131	1.38679361708	-0.383798153062
64	64	0.926820997559	-1.68282689497	0.766409391895
96	64	0.133147123654	0.011115331318	-0.00864602950654
128	64	0.117609164042	0.0343843550978	-0.0311182249478
160	64	0.0697074491544	0.0391791466683	-0.0216457959958
180	64	0.0252343735731	0.107226063893	-0.0531896236258

0.5	96	0.367273227344	-0.406465479397	0.170190192508
1	96	0.909461891405	-1.39579242644	0.72223713651
2	96	0.437758109461	1.05017546219	-0.633766233857
4	96	4.3115373215	-5.70388534135	1.88095625133
8	96	3.82200137196	-3.90848896347	1.69510102404
16	96	2.71625823407	-2.51472522507	1.19177946383
32	96	0.0575538410354	2.45705299465	-1.06290809051
64	96	0.334215527165	0.242422970987	-0.232909964202
96	96	0.0505806810218	0.3318461605	-0.152273745485
128	96	0.0989146369893	-0.0475660243761	0.0221012880821
160	96	0.0503505683513	-0.0187140534373	0.0100176888842
180	96	0.0400605076392	-0.0100015098809	0.00496953242491

0.5	128	0.822091785929	-1.81465113483	0.892977293104
1	128	0.363638685129	1.54810950263	-0.907095903732
2	128	1.72323979134	-0.691224344975	-0.0121557250143
4	128	0.238524739467	4.38483168415	-1.12294532304
8	128	3.14857337771	-2.32997485688	1.34667226221
16	128	1.62126026666	0.405879173891	-0.180727454245
32	128	0.734866945853	0.440456237255	-0.338091843784
64	128	0.0554923289098	0.41234407033	-0.154960409902
96	128	0.00885859307133	0.264558641249	-0.0873171867672
128	128	0.05795798604	-0.0196059787859	0.0157559042132
160	128	0.0204203460656	0.0724414606418	-0.0386484459384
180	128	0.0314924891967	-0.0198048857775	0.00860923594974

0.5	192	0.33606495313	0.113390870233	0.0355732099
1	192	0.429905026229	-0.220913729216	0.175465482596
2	192	1.17321705304	1.31854247416	-0.658414871395
4	192	4.38876442928	-6.51166933017	2.76043657623
8	192	1.00942823252	5.20652372235	-2.58238450296
16	192	1.1374098016	0.528040108662	0.0347346886599
32	192	0.393139131975	0.599663155157	-0.35387512929
64	192	0.183455477811	-0.0303582368529	-0.000746341287464
96	192	0.070504873806	0.109380510756	-0.09176073075
128	192	0.0234081676141	0.0596024113847	-0.0203730612329
160	192	0.00676756308742	0.0885457658062	-0.0470838266564
180	192	0.00284614418374	0.0709894859736	-0.0340125546717

0.5	256	-0.0478239993995	1.05407350044	-0.382356502036
1	256	-0.0121388368193	2.90794030718	-1.47156995192
2	256	2.25381667436	-3.366927629	1.94534924884
4	256	1.20498905987	3.69117786094	-1.56083298748
8	256	3.56993136123	-4.83028878659	2.20214343792
16	256	1.31170024255	-0.752880793797	0.498480716926
32	256	-0.0335190496259	1.13853113318	-0.364903564184
64	256	0.070815855868	0.159031551558	-0.0747916307616
96	256	0.0450234330897	-0.00466688054307	0.00710677430984
128	256	0.0473604453482	-0.0522415754833	0.02571389709
160	256	0.028543030738	-0.0185030413091	0.00815269808469
180	256	0.0062965839002	0.0268682386516	-0.0146495435046

0.5	384	-0.459546636536	3.31296784112	-1.49983523164
1	384	0.489851691114	1.09206216752	-0.318870655919
2	384	2.01693630206	-1.29154475864	1.35722670678
4	384	2.57011058999	-0.249964770944	0.0476909156711
8	384	0.0545310953666	7.34840206374	-3.38642033039
16	384	0.81960385409	0.0677451595001	0.149439080181
32	384	0.5348887447	-0.553886172418	0.196477323251
64	384	0.140047192955	-0.170464139587	0.113297645741
96	384	0.0102265069266	0.0875901913089	-0.0386404556013
128	384	0.0136455047071	0.0194535521943	-0.00289717550728
160	384	0.0541704710719	-0.117916779119	0.0506066757992
180	384	0.00673006659409	0.019837060793	-0.0106819443453

0.5	512	1.14439188774	-1.69911882154	0.615596379061
1	512	0.866640700788	0.857869041277	-0.3787383514
2	512	1.24738176621	1.40054845322	0.00325990363988
4	512	3.80181869033	-2.73691524386	0.888975926803
8	512	1.30501213341	2.32236760403	-0.870760062231
16	512	1.21882343061	-1.61830269439	0.788422374177
32	512	0.486675588651	-0.658238143141	0.252786750554
64	512	0.0545429794629	0.020219667563	-0.00631076898191
96	512	-0.00664034021134	0.125215988012	-0.063589817532
128	512	0.0256207782503	-0.0314663238301	0.0158246282127
160	512	0.00607633910517	0.0124147126391	-0.00554099016007
180	512	0.0107875888787	-0.00745704516362	0.00250415041279

0.5	1024	0.957361227856	-0.917336149506	0.562074468855
1	1024	2.59888034896	-4.28192570983	1.9836983921
2	1024	2.22541370434	0.00725769822912	-0.0629519576116
4	1024	2.18401665844	0.399049820342	-0.259822082769
8	1024	2.78608287186	-4.35254269091	1.68782835444
16	1024	0.750905524991	-0.815765441185	0.256666225223
32	1024	0.21012674613	-0.312629420608	0.153699888758
64	1024	0.0739474767852	-0.114214421663	0.0472755716489
96	1024	0.0265892587281	-0.0306842556501	0.012005964492
128	1024	0.00855536335297	0.0012077841962	-0.00164385625724
160	1024	0.00949115614604	-0.011688279318	0.00490204986208
180	1024	0.00856021297704	-0.0163160520248	0.00771504212438

0.5	2048	1.63608237487	-1.54656215932	0.709393206729
1	2048	1.43658682034	1.61807843202	-1.09599554727
2	2048	3.90017195793	-3.84934081161	1.59679191993
4	2048	1.37009066121	1.49190010238	-0.584579866215
8	2048	0.374160365264	1.52152241096	-0.716949792548
16	2048	0.240108048649	-0.00772266929999	-0.0359950528245
32	2048	0.139560097279	-0.249527966333	0.122914908768
64	2048	0.0160228316015	0.00697912923405	-0.0062227146555
96	2048	0.000213700041694	0.0213607462891	-0.00590614482309
128	2048	0.00536027963829	-0.00479877258037	0.00218659187453
160	2048	0.0053492898758	-0.00942926205998	0.00446754144468
180	2048	0.00419300172499	-0.0069340843763	0.0029122497619

0.5	4096	0.525421474637	2.74469724871	-0.909979877608
1	4096	2.87389976451	-2.18167627115	1.30940471325
2	4096	1.49078141962	2.7262811259	-1.41423242633
4	4096	1.54680343374	-2.0049775384	1.00950226362
8	4096	0.64664734093	-0.722547006445	0.359596197961
16	4096	0.0251754854249	0.360745909204	-0.171940363399
32	4096	0.015518606247	0.0701291647982	-0.0336430340907
64	4096	0.0110609317059	-0.00780431810479	0.00331715231051
96	4096	-0.00117123832327	0.0143964740981	-0.00584269459303
128	4096	0.002574217558	-0.00214252025976	0.0008694331366
160	4096	0.000521470799011	0.00216788537355	-0.000885495787026
180	4096	0.00115179427855	-0.00106449061231	0.000520357626965
