	"#Angle"	"Frequency"	"Speed"	"Average_Time"	"Errors"	"Capped_Errors"	"Failure_rate"	2
0	0	1	0.27	0.1598543619	0.2115384615	0.2115384615	0	0.0681021285
1	0	2	0.27	0.153321207	0.0961538462	0.0961538462	0	0.0681021285
2	0	4	0.27	0.1414127718	0.1153846154	0.1153846154	0	0.0681021285
3	0	8	0.27	0.1468658617	0.1346153846	0.1346153846	0	0.0681021285
4	0	13	0.27	0.1527024024	0.1923076923	0.1923076923	0	0.0681021285
5	0	20	0.27	0.1509183479	0.1730769231	0.1730769231	0	0.0681021285
6	0	30	0.27	0.1627190679	0.1730769231	0.1730769231	0	0.0681021285
								
7	30	1	0.27	0.1500432688	0.25	0.25	0	1.6694034268
8	30	2	0.27	0.1487232024	0.2307692308	0.2307692308	0	1.8265331864
9	30	4	0.27	0.1669990778	0.2692307692	0.2692307692	0	1.5967564732
10	30	8	0.27	0.1691411713	0.2884615385	0.2884615385	0	1.7091986069
11	30	13	0.27	0.1682040999	0.3653846154	0.3653846154	0	1.4802065468
12	30	20	0.27	0.1631812097	0.3269230769	0.3269230769	0	1.6218315537
13	30	30	0.27	0.1896187701	0.2692307692	0.2692307692	0	1.3053876009
								
14	60	1	0.27	0.1666538986	0.2115384615	0.2115384615	0	1.7566629796
15	60	2	0.27	0.1457178988	0.1346153846	0.1346153846	0	1.8457365592
16	60	4	0.27	0.1627901775	0.4230769231	0.4230769231	0	1.5972421102
17	60	8	0.27	0.193549917	0.4038461538	0.4038461538	0	1.21464976
18	60	13	0.27	0.192021607	0.8076923077	0.8076923077	0	1.3609058629
19	60	20	0.27	0.2019152025	0.6923076923	0.6923076923	0	0.9922960811
20	60	30	0.27	0.1823593898	0.4038461538	0.4038461538	0	0.905947985
								
21	90	1	0.27	0.1560900956	0.1538461538	0.1538461538	0	1.821341349
22	90	2	0.27	0.1593679481	0.2692307692	0.2692307692	0	1.7912823031
23	90	4	0.27	0.1797245029	0.1923076923	0.1923076923	0	1.3815766703
24	90	8	0.27	0.1805751022	0.2884615385	0.2884615385	0	1.2066048912
25	90	13	0.27	0.2064054733	0.4038461538	0.4038461538	0	1.0268527097
26	90	20	0.27	0.1581288801	0.3461538462	0.3461538462	0	0.7987252487
27	90	30	0.27	0.166102221	0.2692307692	0.2692307692	0	0.5728169634
								
28	120	1	0.27	0.160417553	0.25	0.25	0	1.4872379503
29	120	2	0.27	0.1661772768	0.4423076923	0.4423076923	0	1.2515939532
30	120	4	0.27	0.1972485239	0.5961538462	0.5961538462	0	1.1627300523
31	120	8	0.27	0.1822972107	0.5961538462	0.5961538462	0	0.7749486688
32	120	13	0.27	0.1574267626	0.1923076923	0.1923076923	0	0.7428673899
33	120	20	0.27	0.1512312122	0.2307692308	0.2307692308	0	0.7128070194
34	120	30	0.27	0.1699993579	0.3076923077	0.3076923077	0	0.5581990438
								
35	180	1	0.27	0.1736741921	0.4807692308	0.4807692308	0	1.4550112908
36	180	2	0.27	0.1946337945	0.4423076923	0.4423076923	0	1.2115959428
37	180	4	0.27	0.1743476195	0.3653846154	0.3653846154	0	0.9082966185
38	180	8	0.27	0.1698197637	0.25	0.25	0	0.6309672516
39	180	13	0.27	0.165647707	0.2115384615	0.2115384615	0	0.5067449854
40	180	20	0.27	0.1475380691	0.1153846154	0.1153846154	0	0.476333574
41	180	30	0.27	0.1457010725	0.1153846154	0.1153846154	0	0.3574351746
								
42	0	1	0.54	0.1589674502	0.3269230769	0.3269230769	0	0.1341571399
43	0	2	0.54	0.1664109603	0.4615384615	0.4615384615	0	0.1341571399
44	0	4	0.54	0.1579157279	0.3269230769	0.3269230769	0	0.1341571399
45	0	8	0.54	0.161266261	0.3653846154	0.3653846154	0	0.1341571399
46	0	13	0.54	0.1704129716	0.2884615385	0.2884615385	0	0.1341571399
47	0	20	0.54	0.1584676971	0.25	0.25	0	0.1341571399
48	0	30	0.54	0.156329497	0.2115384615	0.2115384615	0	0.1341571399
								
49	30	1	0.54	0.181766435	0.5576923077	0.5576923077	0	4.1147865343
50	30	2	0.54	0.1760956864	0.3653846154	0.3653846154	0	4.4036710898
51	30	4	0.54	0.2074964635	0.8461538462	0.8461538462	0	3.9605427228
52	30	8	0.54	0.2212036273	0.9807692308	0.9807692308	0	3.8082229136
53	30	13	0.54	0.1766290453	0.7307692308	0.7307692308	0	3.5043074949
54	30	20	0.54	0.2409115505	1.0192307692	1.0192307692	0	3.0056657598
55	30	30	0.54	0.2569343784	1.3461538462	1.1730769231	5.7692307692	3.3067344951
								
56	60	1	0.54	0.1630266817	0.3461538462	0.3461538462	0	3.974284715
57	60	2	0.54	0.1947942881	0.7884615385	0.7692307692	1.9230769231	3.6016586065
58	60	4	0.54	0.2377042154	1.1730769231	1.1538461539	1.9230769231	3.4042316861
59	60	8	0.54	0.3327196878	1.7884615385	1.4423076923	9.6153846154	2.8444374029
60	60	13	0.54	0.3414605781	2.5	1.8076923077	13.4615384615	2.5932844144
61	60	20	0.54	0.4348073392	2.9807692308	2.2884615385	17.3076923077	2.3344400555
62	60	30	0.54	0.3278551961	2.6153846154	2.0769230769	13.4615384615	1.8763715953
								
63	90	1	0.54	0.1894307474	0.4807692308	0.4807692308	0	3.8343965057
64	90	2	0.54	0.2322356958	1.2692307692	1.2307692308	1.9230769231	3.6492426373
65	90	4	0.54	0.3059389724	1.8076923077	1.6346153846	5.7692307692	2.856819066
66	90	8	0.54	0.3001245934	2.3461538462	2.1153846154	9.6153846154	2.3843960505
67	90	13	0.54	0.3541234032	2.4807692308	1.9230769231	11.5384615385	1.8972785934
68	90	20	0.54	0.3279028276	1.9230769231	1.4807692308	7.6923076923	1.6298043744
69	90	30	0.54	0.2744268136	1.2692307692	1.2115384615	3.8461538462	1.1459817638
								
70	120	1	0.54	0.1879310127	0.6923076923	0.6538461538	1.9230769231	3.4313835167
71	120	2	0.54	0.3483739607	2.1346153846	1.9230769231	5.7692307692	2.8313241276
72	120	4	0.54	0.4778661357	2.9807692308	2.2692307692	13.4615384615	2.9895276946
73	120	8	0.54	0.3379406349	2.2115384615	1.7884615385	9.6153846154	1.7926514643
74	120	13	0.54	0.3375362663	2.0769230769	1.7692307692	9.6153846154	1.3323986309
75	120	20	0.54	0.1858160155	0.7115384615	0.7115384615	0	1.1866540916
76	120	30	0.54	0.1972447558	0.7692307692	0.7692307692	0	0.9037603136
								
77	180	1	0.54	0.2485489177	0.9807692308	0.9423076923	3.8461538462	2.8372671199
78	180	2	0.54	0.4775565538	2.8076923077	2.3269230769	13.4615384615	2.4640562898
79	180	4	0.54	0.281217873	1.9038461539	1.75	5.7692307692	1.8518924129
80	180	8	0.54	0.2966395161	1.4038461539	1.1153846154	3.8461538462	1.3725789707
81	180	13	0.54	0.1695206406	0.5	0.5	0	1.053842908
82	180	20	0.54	0.1834929172	0.5192307692	0.5192307692	0	0.9716618015
83	180	30	0.54	0.1719822241	0.4038461538	0.4038461538	0	0.8439331958
								
84	0	1	0.81	0.2054229712	0.7115384615	0.7115384615	0	0.2002121514
85	0	2	0.81	0.1728403664	0.6346153846	0.6346153846	0	0.2002121514
86	0	4	0.81	0.2079210853	0.7115384615	0.7115384615	0	0.2002121514
87	0	8	0.81	0.1781908433	0.3269230769	0.3269230769	0	0.2002121514
88	0	13	0.81	0.1895737836	0.6923076923	0.6730769231	1.9230769231	0.2002121514
89	0	20	0.81	0.224570673	0.9038461538	0.9038461538	0	0.2002121514
90	0	30	0.81	0.1578450953	0.4615384615	0.4615384615	0	0.2002121514
								
91	30	1	0.81	0.2239215552	0.9230769231	0.8461538462	1.9230769231	7.4283940573
92	30	2	0.81	0.2614397429	0.7884615385	0.7884615385	0	7.0345013212
93	30	4	0.81	0.2561895512	1.4615384615	1.3653846154	1.9230769231	7.0114514402
94	30	8	0.81	0.3001807686	1.5576923077	1.3846153846	5.7692307692	6.0045377413
95	30	13	0.81	0.3764911408	2.1346153846	1.8461538462	7.6923076923	6.0046287785
96	30	20	0.81	0.2865636711	1.9615384615	1.75	11.5384615385	5.3979882426
97	30	30	0.81	0.4752491923	4.6730769231	2.8076923077	32.6923076923	5.0493071785
								
98	60	1	0.81	0.2161314727	1.0576923077	1.0576923077	0	6.6588605256
99	60	2	0.81	0.2871905416	1.6730769231	1.4807692308	5.7692307692	6.6624355933
100	60	4	0.81	0.3422973582	2.4038461539	2.0576923077	11.5384615385	5.901438424
101	60	8	0.81	0.4026446219	3.5576923077	2.4230769231	30.7692307692	5.5512619008
102	60	13	0.81	0.5760573748	5.0769230769	2.9230769231	36.5384615385	4.0928799223
103	60	20	0.81	0.6832388503	8.0192307692	3.3269230769	42.3076923077	3.5659176774
104	60	30	0.81	0.607811554	7.3653846154	3.5192307692	46.1538461538	2.9618982904
								
105	90	1	0.81	0.2273667708	0.9230769231	0.9230769231	0	6.6149758398
106	90	2	0.81	0.3951649997	2.6923076923	1.6346153846	13.4615384615	5.7713111558
107	90	4	0.81	0.4665759931	3.2115384615	2.4615384615	21.1538461538	4.2293797823
108	90	8	0.81	0.5271255197	7.3269230769	3.3653846154	50	3.7117930777
109	90	13	0.81	0.5622256243	6.5769230769	3.0961538462	36.5384615385	3.1934908826
110	90	20	0.81	0.4570138899	4.3846153846	2.9807692308	32.6923076923	2.2019015186
111	90	30	0.81	0.3904218297	4.4615384615	2.7307692308	32.6923076923	1.9637634404
								
112	120	1	0.81	0.2867660295	1.5	1.3846153846	5.7692307692	6.3340532148
113	120	2	0.81	0.4253263784	3.0961538462	2.4038461539	17.3076923077	5.2669728768
114	120	4	0.81	0.4047777864	5.6538461539	2.9038461539	36.5384615385	3.9175877359
115	120	8	0.81	0.5944864373	7.3461538462	3.5769230769	51.9230769231	2.7211987298
116	120	13	0.81	0.4574828391	6.2692307692	3.2115384615	38.4615384615	2.0221422413
117	120	20	0.81	0.4864724568	3.3653846154	2.7115384615	19.2307692308	1.6956791888
118	120	30	0.81	0.2418160707	1.5	1.2884615385	5.7692307692	1.5186172867
								
119	180	1	0.81	0.3313170027	2.0384615385	1.6923076923	7.6923076923	4.9526196118
120	180	2	0.81	0.6715241982	5.2692307692	2.7884615385	32.6923076923	3.77479735
121	180	4	0.81	0.5480197819	6.1923076923	3.4615384615	50	2.9162276871
122	180	8	0.81	0.4453063797	3.1538461539	2.2115384615	19.2307692308	1.7876815323
123	180	13	0.81	0.3429083658	1.6730769231	1.4230769231	7.6923076923	1.704492268
124	180	20	0.81	0.2493859154	1.0769230769	1.0576923077	1.9230769231	1.2953885225
125	180	30	0.81	0.2183981268	1.1538461539	1.1346153846	1.9230769231	1.1413983216
